,Subject,Timepoint,Subgraph_Index,Number_R2,Image_R2,Word_R2
147,0,0,147,0.8579945786834724,0.6185296964761154,0.22787898600274625
148,0,0,148,0.8461142398055763,0.620829758170726,0.22357666755931924
149,0,0,149,0.822691360306515,0.6057988559812758,0.20857056839261923
150,0,0,150,0.7756963831282219,0.6014209911895502,0.2201217746043967
151,0,0,151,0.8363396672954382,0.616962706538811,0.21431939122275181
152,0,0,152,0.8252341755187057,0.607961077734007,0.2110527287053091
153,0,0,153,0.8449201604860714,0.6173820441639779,0.2072442843571013
154,0,0,154,0.7703381878162542,0.5892703405604677,0.21299634226365394
155,0,0,155,0.8513287643954526,0.618550899142197,0.21954726610448363
156,0,0,156,0.8404126671503749,0.6151585495092984,0.21515857162104488
157,0,0,157,0.8102327693206814,0.6030122916724651,0.20175068509976732
158,0,0,158,0.7841571557692276,0.6046790413804868,0.2087850191414159
159,0,0,159,0.8375918247205116,0.6208462399229384,0.22239104998842493
160,0,1,0,0.8208115390613365,0.604285307957287,0.2180771457501403
161,0,1,1,0.8105044219357742,0.6047940365272748,0.21328094500514563
162,0,1,2,0.8309939774469943,0.606183862270928,0.20564735324253644
163,0,1,3,0.843263635784961,0.615074780422382,0.2230112019407528
164,0,1,4,0.8087870760452702,0.6044103511584327,0.2078920682409224
165,0,1,5,0.8394129543890673,0.6158231551594586,0.22153940621824522
166,0,1,6,0.7914255813777202,0.6013962532539816,0.21589557998704761
167,0,1,7,0.8136220545577821,0.6042535049390121,0.22285552488714516
168,0,1,8,0.8291432658163226,0.615161793917151,0.2295260069161043
169,0,1,9,0.8185102722276557,0.6046031947462317,0.2229146083395313
170,0,1,10,0.82381083469635,0.6057510785643565,0.2163776909071192
171,0,1,11,0.85486537634138,0.6162542805800648,0.2271177074447464
172,0,1,12,0.8135191487296698,0.6047115100697362,0.21938913100737487
173,0,1,13,0.7987124054276151,0.6129014623569713,0.20153171731216404
174,0,1,14,0.7882619563644377,0.604640039717246,0.21356408328857998
175,0,1,15,0.8119416438203275,0.6111215962715498,0.21189411526015395
176,0,1,16,0.8613352822267656,0.6173034080101153,0.23101539714786357
177,0,1,17,0.752146113157444,0.564582221310032,0.1961946605430283
178,0,1,18,0.8457913110172943,0.6166157535788896,0.21469697750425276
179,0,1,19,0.8091098604148699,0.6013995638596447,0.2159631013393799
180,0,1,20,0.6270633657402467,0.5034839542045272,0.1602956410546344
181,0,1,21,0.8027502024449891,0.601655495356909,0.2188797375661906
182,0,1,22,0.8105865763727056,0.6029749112670261,0.2115090245902422
183,0,1,23,0.8182168888274676,0.6192001293148455,0.2321508934679732
184,0,1,24,0.7941049436492089,0.6016365167757629,0.21981920503510452
185,0,1,25,0.8309376322598802,0.615079358182057,0.22349058042922287
186,0,1,26,0.7997601712761214,0.5983047659180329,0.21798109432378404
187,0,1,27,0.8073325531471918,0.6025288072695524,0.21415066218626935
188,0,1,28,0.8153672963735925,0.6046828882218055,0.20950022787349873
189,0,1,29,0.8204078598284616,0.6093064886842537,0.21028075936046434
190,0,1,30,0.8484745088017611,0.619220824519629,0.22127190960665516
191,0,1,31,0.8270655003564253,0.618430022467727,0.2262223875614612
192,0,1,32,0.8111542933618819,0.6093184782883512,0.21322181738117188
193,0,1,33,0.816117155083913,0.6170089353612999,0.22581309441535893
194,0,1,34,0.8049726046679287,0.5876435289029625,0.21935730954795196
195,0,1,35,0.8262305036844666,0.6057977637746177,0.21594558831023747
196,0,1,36,0.8112250532105751,0.6079985974535935,0.21856640140021433
197,0,1,37,0.791285643559913,0.5976083655177575,0.21974498474636178
198,0,1,38,0.7985752522278056,0.5950545862278617,0.22088749836111654
199,0,1,39,0.8191363492973239,0.6014215195745605,0.2172234979011914
200,0,1,40,0.8356777827850884,0.6199113174133786,0.21415568625102271
201,0,1,41,0.8468459419256196,0.6124461833101026,0.22886031796387588
202,0,1,42,0.817629347850203,0.6092630288833555,0.19856137129862142
203,0,1,43,0.8083191387108298,0.6018156946825215,0.2206158836883011
204,0,1,44,0.786394039215935,0.5983517784327429,0.21861395565486233
205,0,1,45,0.7474061729826161,0.5976012835052755,0.23020809056880476
206,0,1,46,0.8412428133310554,0.6184414033876308,0.2277296456029873
207,0,1,47,0.8057651142910264,0.604306284529883,0.21153972838911486
208,0,1,48,0.7997708525986262,0.5967987352413332,0.22657598634160667
209,0,1,49,0.8064737392787082,0.6018145931372841,0.22514660473290338
210,0,1,50,0.7695402621159511,0.57363821432768,0.20946413199834119
211,0,1,51,0.8101258534258158,0.60154658529771,0.21246219396558608
212,0,1,52,0.8079139648134929,0.6151118682429911,0.22488993551509673
213,0,1,53,0.810334795056096,0.6016472504890518,0.21856846084986753
214,0,1,54,0.8117156481903929,0.597336177575467,0.21984734922623106
215,0,1,55,0.8277885300993815,0.6158778378594231,0.21789242555679297
216,0,1,56,0.8201702937827778,0.604678518861103,0.21710104255994786
217,0,1,57,0.8393325574199544,0.6192652512985967,0.2213023549714761
218,0,1,58,0.8235552046735494,0.605752095821924,0.21085694909905262
219,0,1,59,0.8240178549244592,0.6128568417659213,0.20118148701593785
220,0,1,60,0.7993112748841231,0.6042961871140019,0.20140192020874806
221,0,1,61,0.7753682278217164,0.5876853761312373,0.21395477620730208
222,0,1,62,0.8345188701694948,0.605783858255279,0.21743218726792457
223,0,1,63,0.841514514808583,0.6199306109908427,0.2180788488009316
224,0,1,64,0.7365965674033421,0.5526410813015099,0.1821033840463817
225,0,1,65,0.8247983121227876,0.6058014564620015,0.19387590543416508
226,0,1,66,0.8111451532802187,0.6046188976622044,0.2173599921964292
227,0,1,67,0.8133008292567396,0.6079812343574021,0.21147174414716288
228,0,1,68,0.8569099657887032,0.6162905612174603,0.22816565988814333
229,0,1,69,0.7918488005607524,0.5975788598907827,0.2216374663875326
230,0,1,70,0.7472469977626623,0.5619098117835369,0.19682233082376327
231,0,1,71,0.7948600367807424,0.6030184074724079,0.2157191058112243
232,0,1,72,0.811829038867014,0.6057474638993725,0.22473604414080994
233,0,1,73,0.7938046037083877,0.5932477430669602,0.2170803355595622
234,0,1,74,0.8038478144905907,0.5967936904875676,0.20896126800024833
235,0,1,75,0.858622432142843,0.6185130436114443,0.22917224241758455
236,0,1,76,0.7872051994341609,0.5876397839054517,0.20814163103915095
237,0,1,77,0.7834339410884975,0.6092853576509517,0.2100885861898234
238,0,1,78,0.7882469667971397,0.593311489124364,0.21296587380689352
239,0,1,79,0.8237612892048254,0.6079942740138877,0.2205219462171322
240,0,1,80,0.8230397489983468,0.6048270091062627,0.21772291515149506
241,0,1,81,0.5589027879520124,0.47445342387060485,0.1456617639917715
242,0,1,82,0.7687525358376479,0.6018018788229622,0.22026315451610184
243,0,1,83,0.7904461601348693,0.6043705850926135,0.2169925576774734
244,0,1,84,0.6669525840942185,0.543715897239776,0.16712123474696847
245,0,1,85,0.8528328211587273,0.6144498522838622,0.2174313350369541
246,0,1,86,0.7139698633000497,0.5694220514506791,0.20841748160574222
